Gender,Churn,Network,relation_durattion,service_type,source_of_attraction,prferred_communication,satisfy_with_call_rate,contact_with_cust_care,rate_of_cust_care_calling,reascon_of_contact_cc,monthly_usage_rs,Happy_with_intrnet_quality,4G_available,satisfy_with_voice_quality,satisfy_with_signal_strength,pleaseed_with_prices,satisfy_with_billing_process,recommend_to_others
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,messages,No,No,rarely,Other Queries,300,Yes,Yes,Yes,Yes,No,No,No
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,messages,No,No,rarely,Complaints,300,No,No,Yes,No,No,No,Yes
Male,No,Jazz / Warid,More than one year,Pre Paid,Others,messages,Yes,Yes,Once in a Month,Complaints,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,messages,Yes,Yes,Once in a year,Complaints,500,Yes,Yes,Yes,Yes,No,Yes,Yes
Male,No,Zong,More than one year,Pre Paid,Others,Audio calling,No,Yes,Once in a Month,Complaints,300,Yes,Yes,Yes,Yes,No,Yes,Yes
Male,No,Jazz / Warid,More than one year,Pre Paid,Face book,messages,No,Yes,rarely,Other Queries,300,No,Yes,Yes,Yes,Yes,No,No
Male,No,Telenor,More than one year,Pre Paid,Others,messages,Yes,No,rarely,Other Queries,800,No,Yes,Yes,No,Yes,Yes,No
Male,Yes,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,rarely,Complaints,500,No,Yes,Yes,No,No,No,No
Male,No,Jazz / Warid,7 12 Months,Pre Paid,Others,messages,Yes,No,Once in a Month,Information regarding new schemes,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,rarely,Information regarding new schemes,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,No,Jazz / Warid,Less than one Month,Pre Paid,Others,messages,Yes,No,rarely,Complaints,300,No,Yes,Yes,Yes,No,No,Yes
Male,No,Jazz / Warid,2 6 Months,Pre Paid,Others,messages,No,Yes,rarely,Other Queries,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Jazz / Warid,More than one year,Pre Paid,Advertisement,messages,Yes,No,rarely,Other Queries,300,Yes,Yes,Yes,Yes,No,Yes,Yes
Female,No,Jazz / Warid,2 6 Months,Post Paid,Others,Audio calling,No,No,rarely,Other Queries,50,Yes,Yes,Yes,No,No,Yes,Yes
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,Once in a Month,Information regarding new schemes,800,Yes,No,Yes,Yes,Yes,Yes,Yes
Male,No,Jazz / Warid,Less than one Month,Pre Paid,Others,Audio calling,No,Yes,rarely,Complaints,300,Yes,Yes,Yes,Yes,No,Yes,Yes
Male,No,Jazz / Warid,More than one year,Post Paid,Advertisement,Audio calling,Yes,Yes,rarely,Complaints,800,Yes,Yes,Yes,Yes,No,Yes,Yes
Male,Yes,Jazz / Warid,More than one year,Pre Paid,Advertisement,Audio calling,Yes,Yes,rarely,Complaints,300,No,No,Yes,No,Yes,Yes,Yes
Female,No,Zong,Less than one Month,Pre Paid,Others,Audio calling,Yes,Yes,rarely,Value added services,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,No,Jazz / Warid,More than one year,Pre Paid,Others,messages,No,No,rarely,Other Queries,50,Yes,Yes,Yes,No,Yes,No,No
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,No,No,rarely,Complaints,50,Yes,Yes,Yes,No,No,No,Yes
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,messages,Yes,Yes,rarely,Value added services,300,Yes,Yes,Yes,Yes,No,No,Yes
Female,No,Zong,2 6 Months,Pre Paid,Advertisement,Audio calling,Yes,Yes,rarely,Complaints,300,Yes,Yes,Yes,No,Yes,Yes,Yes
Female,No,Zong,More than one year,Pre Paid,Others,Audio calling,No,No,rarely,Other Queries,500,Yes,Yes,Yes,Yes,No,No,Yes
Female,No,Telenor,More than one year,Post Paid,Others,messages,Yes,No,rarely,Complaints,50,Yes,Yes,No,Yes,No,No,Yes
Male,No,Jazz / Warid,More than one year,Pre Paid,Others,messages,Yes,No,Once in a Week,Information regarding new schemes,300,Yes,Yes,Yes,Yes,Yes,Yes,No
Male,No,Jazz / Warid,More than one year,Pre Paid,Advertisement,Video Calling,Yes,Yes,Once in a Week,Information regarding new schemes,800,Yes,Yes,Yes,Yes,Yes,Yes,No
Male,No,Jazz / Warid,7 12 Months,Pre Paid,Advertisement,Video Calling,Yes,Yes,Once in a Week,Information regarding new schemes,800,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Zong,More than one year,Post Paid,Others,messages,No,Yes,Once in a Month,Information regarding new schemes,300,Yes,Yes,Yes,Yes,No,No,Yes
Male,No,Jazz / Warid,More than one year,Pre Paid,Others,Video Calling,No,Yes,rarely,Complaints,800,Yes,Yes,Yes,No,No,No,Yes
Male,No,Telenor,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,rarely,Other Queries,800,Yes,Yes,Yes,Yes,Yes,No,Yes
Female,No,Zong,More than one year,Pre Paid,Others,messages,Yes,Yes,Once in a Month,Information regarding new schemes,300,Yes,Yes,Yes,Yes,No,Yes,Yes
Female,No,Telenor,More than one year,Pre Paid,Face book,messages,Yes,Yes,Once in a Week,Other Queries,50,Yes,No,Yes,Yes,Yes,Yes,Yes
Female,Yes,Jazz / Warid,More than one year,Post Paid,Others,Video Calling,Yes,No,rarely,Other Queries,50,No,Yes,Yes,Yes,Yes,Yes,No
Male,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,Yes,No,rarely,Complaints,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Jazz / Warid,More than one year,Post Paid,Others,Audio calling,Yes,Yes,rarely,Information regarding new schemes,50,Yes,Yes,Yes,Yes,No,Yes,Yes
Male,Yes,Jazz / Warid,7 12 Months,Pre Paid,Others,Audio calling,No,Yes,Once in a Month,Value added services,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,Yes,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,No,Yes,Once in a Month,Complaints,800,No,Yes,Yes,Yes,No,No,Yes
Male,No,Jazz / Warid,More than one year,Pre Paid,Others,Video Calling,Yes,Yes,Once in a Week,Other Queries,500,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,No,Jazz / Warid,More than one year,Pre Paid,Advertisement,messages,No,Yes,rarely,Other Queries,300,Yes,Yes,Yes,Yes,No,Yes,No
Female,No,Zong,More than one year,Pre Paid,Others,Audio calling,No,Yes,rarely,Complaints,300,Yes,No,Yes,Yes,Yes,No,Yes
Female,No,Jazz / Warid,More than one year,Post Paid,Others,Audio calling,Yes,No,rarely,Other Queries,800,Yes,Yes,Yes,Yes,No,Yes,No
Female,No,Jazz / Warid,More than one year,Post Paid,Face book,messages,Yes,No,rarely,Other Queries,50,No,No,Yes,No,No,Yes,No
Male,No,Jazz / Warid,More than one year,Pre Paid,Advertisement,Audio calling,No,Yes,rarely,Other Queries,500,No,Yes,Yes,Yes,No,No,Yes
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,No,Yes,Once in a Month,Information regarding new schemes,50,No,Yes,No,Yes,Yes,Yes,Yes
Male,No,Jazz / Warid,2 6 Months,Post Paid,Advertisement,messages,Yes,No,Once in a Week,Information regarding new schemes,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Telenor,More than one year,Pre Paid,Others,Video Calling,Yes,Yes,rarely,Other Queries,800,Yes,Yes,Yes,Yes,Yes,Yes,No
Male,Yes,Zong,More than one year,Pre Paid,Others,Video Calling,Yes,Yes,Once in a Month,Complaints,500,No,Yes,No,No,Yes,Yes,No
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,Once in a year,Other Queries,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,Yes,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,rarely,Complaints,300,Yes,Yes,Yes,No,Yes,Yes,No
Male,Yes,Jazz / Warid,More than one year,Pre Paid,Advertisement,Audio calling,No,Yes,rarely,Complaints,500,No,Yes,No,No,No,No,No
Female,No,Zong,2 6 Months,Pre Paid,Others,Audio calling,Yes,No,Once in a Week,Other Queries,300,Yes,Yes,Yes,Yes,Yes,Yes,No
Male,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,No,No,rarely,Information regarding new schemes,300,Yes,Yes,No,Yes,No,No,No
Female,No,Ufone,More than one year,Pre Paid,Advertisement,Audio calling,Yes,Yes,rarely,Complaints,800,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Jazz / Warid,More than one year,Post Paid,Others,Audio calling,No,Yes,rarely,Complaints,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,No,Jazz / Warid,More than one year,Pre Paid,Advertisement,Audio calling,No,No,rarely,Other Queries,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,Yes,No,rarely,Other Queries,50,Yes,No,Yes,Yes,Yes,Yes,No
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,rarely,Information regarding new schemes,800,Yes,Yes,No,No,No,No,No
Female,No,Telenor,More than one year,Post Paid,Advertisement,Audio calling,Yes,Yes,rarely,Value added services,300,Yes,No,Yes,Yes,Yes,Yes,No
Female,No,Jazz / Warid,More than one year,Pre Paid,Advertisement,Audio calling,No,Yes,rarely,Complaints,300,Yes,Yes,Yes,Yes,Yes,No,Yes
Female,No,Jazz / Warid,Less than one Month,Pre Paid,Others,messages,Yes,Yes,Once in a Week,Information regarding new schemes,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,No,Telenor,More than one year,Pre Paid,Advertisement,Audio calling,Yes,Yes,Once in a Week,Value added services,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,Yes,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,Once in a Week,Complaints,800,No,Yes,Yes,No,Yes,Yes,No
Female,No,Zong,More than one year,Pre Paid,Others,Audio calling,Yes,No,rarely,Other Queries,800,Yes,Yes,Yes,Yes,No,No,No
Male,No,Telenor,More than one year,Pre Paid,Others,messages,No,Yes,rarely,Complaints,800,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Ufone,2 6 Months,Pre Paid,Advertisement,Audio calling,Yes,Yes,rarely,Value added services,800,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,Yes,Ufone,More than one year,Pre Paid,Advertisement,Audio calling,No,Yes,rarely,Complaints,50,No,No,No,No,No,No,Yes
Male,No,Zong,More than one year,Pre Paid,Advertisement,Audio calling,Yes,No,rarely,Information regarding new schemes,50,Yes,No,Yes,Yes,Yes,Yes,No
Female,No,Jazz / Warid,More than one year,Post Paid,Others,messages,Yes,No,rarely,Information regarding new schemes,300,Yes,Yes,Yes,No,No,Yes,No
Female,Yes,Jazz / Warid,More than one year,Pre Paid,Advertisement,Audio calling,No,Yes,rarely,Complaints,300,No,Yes,No,No,Yes,Yes,Yes
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,No,Yes,rarely,Information regarding new schemes,500,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,Yes,Jazz / Warid,More than one year,Pre Paid,Others,messages,No,Yes,Once in a Month,Value added services,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Zong,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,Once in a Month,Complaints,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,Yes,Jazz / Warid,More than one year,Pre Paid,Others,messages,No,Yes,rarely,Complaints,500,No,Yes,No,No,Yes,No,Yes
Female,No,Zong,More than one year,Pre Paid,Face book,messages,Yes,Yes,rarely,Other Queries,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Jazz / Warid,Less than one Month,Pre Paid,Others,messages,Yes,Yes,Once in a Week,Information regarding new schemes,800,Yes,Yes,Yes,No,Yes,Yes,No
Female,No,Telenor,More than one year,Pre Paid,Face book,messages,Yes,Yes,Once in a Month,Information regarding new schemes,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,Yes,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,Once in a year,Complaints,500,Yes,Yes,No,No,No,No,No
Female,No,Zong,2 6 Months,Pre Paid,Advertisement,messages,Yes,No,rarely,Other Queries,50,Yes,Yes,Yes,Yes,Yes,No,Yes
Male,Yes,Jazz / Warid,More than one year,Pre Paid,Others,messages,No,Yes,rarely,Complaints,50,No,Yes,No,No,No,No,No
Female,No,Jazz / Warid,More than one year,Pre Paid,Face book,messages,Yes,Yes,Once in a Month,Complaints,800,Yes,Yes,Yes,Yes,Yes,Yes,No
Female,No,Jazz / Warid,More than one year,Post Paid,Others,Audio calling,Yes,Yes,Once in a year,Complaints,800,Yes,Yes,Yes,Yes,Yes,Yes,No
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,messages,Yes,Yes,rarely,Complaints,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Zong,More than one year,Pre Paid,Others,messages,Yes,No,rarely,Other Queries,50,Yes,Yes,Yes,No,Yes,Yes,Yes
Female,No,Zong,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,rarely,Other Queries,800,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Jazz / Warid,More than one year,Post Paid,Advertisement,Audio calling,Yes,No,rarely,Complaints,50,Yes,Yes,Yes,Yes,No,Yes,Yes
Male,Yes,Jazz / Warid,More than one year,Post Paid,Others,messages,No,Yes,Once in a Week,Complaints,300,No,Yes,Yes,No,No,Yes,No
Male,No,Jazz / Warid,More than one year,Pre Paid,Newspaper,Audio calling,Yes,Yes,rarely,Complaints,800,Yes,Yes,Yes,Yes,Yes,Yes,No
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,messages,Yes,Yes,Once in a year,Other Queries,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,Yes,Jazz / Warid,7 12 Months,Pre Paid,Others,Video Calling,No,No,Once in a Month,Complaints,300,Yes,Yes,No,No,No,No,No
Male,Yes,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,No,Yes,rarely,Complaints,800,No,Yes,No,No,No,No,No
Male,Yes,Jazz / Warid,More than one year,Pre Paid,Others,messages,No,Yes,rarely,Complaints,500,No,Yes,No,No,No,No,No
Male,No,Telenor,More than one year,Pre Paid,Others,messages,No,Yes,rarely,Complaints,500,No,Yes,No,No,No,No,Yes
Female,No,Zong,7 12 Months,Pre Paid,Advertisement,Audio calling,Yes,Yes,Once in a Month,Information regarding new schemes,50,Yes,Yes,Yes,Yes,No,Yes,Yes
Female,No,Jazz / Warid,More than one year,Post Paid,Advertisement,Audio calling,Yes,Yes,rarely,Complaints,500,Yes,No,Yes,Yes,Yes,Yes,Yes
Female,No,Jazz / Warid,More than one year,Pre Paid,Advertisement,Audio calling,Yes,Yes,Once in a Month,Information regarding new schemes,800,Yes,Yes,Yes,Yes,Yes,No,Yes
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,messages,Yes,Yes,Once in a year,Other Queries,500,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,Yes,Zong,More than one year,Pre Paid,Others,messages,No,Yes,Once in a Week,Complaints,300,No,Yes,No,No,No,No,No
Male,No,Telenor,More than one year,Pre Paid,Others,messages,No,Yes,rarely,Complaints,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,No,Zong,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,rarely,Other Queries,500,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Telenor,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,rarely,Other Queries,300,Yes,Yes,Yes,Yes,Yes,Yes,No
Male,No,Telenor,7 12 Months,Pre Paid,Advertisement,Audio calling,Yes,Yes,Once in a year,Value added services,800,Yes,Yes,Yes,Yes,Yes,Yes,No
Male,No,Zong,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,rarely,Other Queries,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,messages,Yes,Yes,rarely,Complaints,300,Yes,Yes,Yes,No,No,Yes,Yes
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,No,No,rarely,Information regarding new schemes,300,Yes,Yes,Yes,Yes,Yes,Yes,No
Male,No,Jazz / Warid,7 12 Months,Pre Paid,Others,messages,No,Yes,rarely,Complaints,800,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,Yes,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,No,Yes,Once in a year,Other Queries,300,No,No,No,No,No,No,No
Male,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,rarely,Other Queries,300,Yes,Yes,Yes,Yes,No,Yes,Yes
Female,No,Jazz / Warid,More than one year,Pre Paid,Others,Audio calling,Yes,Yes,rarely,Information regarding new schemes,300,Yes,Yes,Yes,Yes,No,No,No
